defect_id,audit_id,timestamp_sec,gps_lat,gps_lon,param_id,param_name,defect_type,severity,confidence,description,evidence_frame_path
AUD-20260910-151256-DEF-031,AUD-20260910-151256,7.5,18.520429999999998,73.8567225,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_031_MISSING_CROSSING.jpg
AUD-20260910-151256-DEF-032,AUD-20260910-151256,7.5,18.520429999999998,73.8567225,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_032_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-001,AUD-20260910-151817,0.0,18.5204,73.8567,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.35,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_001_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-002,AUD-20260910-151817,0.0,18.5204,73.8567,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_002_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-003,AUD-20260910-151817,0.5,18.520401999999997,73.8567015,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.35,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_003_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-004,AUD-20260910-151817,0.5,18.520401999999997,73.8567015,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_004_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-005,AUD-20260910-151817,1.0,18.520404,73.85670300000001,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.35,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_005_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-006,AUD-20260910-151817,1.0,18.520404,73.85670300000001,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_006_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-007,AUD-20260910-151817,1.5,18.520405999999998,73.8567045,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.35,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_007_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-008,AUD-20260910-151817,1.5,18.520405999999998,73.8567045,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_008_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-009,AUD-20260910-151817,2.0,18.520408,73.856706,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_009_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-010,AUD-20260910-151817,2.0,18.520408,73.856706,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_010_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-011,AUD-20260910-151817,2.5,18.52041,73.8567075,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_011_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-012,AUD-20260910-151817,2.5,18.52041,73.8567075,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_012_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-013,AUD-20260910-151817,3.0,18.520412,73.85670900000001,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_013_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-014,AUD-20260910-151817,3.0,18.520412,73.85670900000001,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_014_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-015,AUD-20260910-151817,3.5,18.520414,73.8567105,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_015_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-016,AUD-20260910-151817,3.5,18.520414,73.8567105,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_016_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-017,AUD-20260910-151817,4.0,18.520415999999997,73.856712,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_017_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-018,AUD-20260910-151817,4.0,18.520415999999997,73.856712,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_018_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-019,AUD-20260910-151817,4.5,18.520418,73.8567135,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_019_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-020,AUD-20260910-151817,4.5,18.520418,73.8567135,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_020_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-021,AUD-20260910-151817,5.0,18.520419999999998,73.85671500000001,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_021_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-022,AUD-20260910-151817,5.0,18.520419999999998,73.85671500000001,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_022_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-023,AUD-20260910-151817,5.5,18.520422,73.8567165,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_023_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-024,AUD-20260910-151817,5.5,18.520422,73.8567165,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_024_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-025,AUD-20260910-151817,6.0,18.520424,73.856718,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_025_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-026,AUD-20260910-151817,6.0,18.520424,73.856718,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_026_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-027,AUD-20260910-151817,6.5,18.520425999999997,73.8567195,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_027_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-028,AUD-20260910-151817,6.5,18.520425999999997,73.8567195,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_028_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-029,AUD-20260910-151817,7.0,18.520428,73.85672100000001,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_029_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-030,AUD-20260910-151817,7.0,18.520428,73.85672100000001,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_030_MISSING_SIGNAGE.jpg
AUD-20260910-151817-DEF-031,AUD-20260910-151817,7.5,18.520429999999998,73.8567225,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_031_MISSING_CROSSING.jpg
AUD-20260910-151817-DEF-032,AUD-20260910-151817,7.5,18.520429999999998,73.8567225,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_032_MISSING_SIGNAGE.jpg
AUD-20260910-152218-DEF-001,AUD-20260910-152218,0.0,18.5204,73.8567,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_001_MISSING_CROSSING.jpg
AUD-20260910-152218-DEF-002,AUD-20260910-152218,0.0,18.5204,73.8567,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_002_MISSING_SIGNAGE.jpg
AUD-20260910-152218-DEF-003,AUD-20260910-152218,0.0,18.5204,73.8567,PARAM_5,Speed Calming & Surface,SURFACE_CALMING_DEFECT,CRITICAL DEFECT,0.84,Absence of raised speed calming table / severe road potholes inducing vehicle hazard.,E:\SIH\Project\output\evidence_frames\evidence_003_SURFACE_CALMING_DEFECT.jpg
AUD-20260910-152218-DEF-004,AUD-20260910-152218,0.35,18.520401999999997,73.8567015,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_004_MISSING_CROSSING.jpg
AUD-20260910-152218-DEF-005,AUD-20260910-152218,0.35,18.520401999999997,73.8567015,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_005_MISSING_SIGNAGE.jpg
AUD-20260910-152218-DEF-006,AUD-20260910-152218,0.35,18.520401999999997,73.8567015,PARAM_5,Speed Calming & Surface,SURFACE_CALMING_DEFECT,CRITICAL DEFECT,0.84,Absence of raised speed calming table / severe road potholes inducing vehicle hazard.,E:\SIH\Project\output\evidence_frames\evidence_006_SURFACE_CALMING_DEFECT.jpg
AUD-20260910-152218-DEF-007,AUD-20260910-152218,0.69,18.520404,73.85670300000001,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_007_MISSING_CROSSING.jpg
AUD-20260910-152218-DEF-008,AUD-20260910-152218,0.69,18.520404,73.85670300000001,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_008_MISSING_SIGNAGE.jpg
AUD-20260910-152218-DEF-009,AUD-20260910-152218,0.69,18.520404,73.85670300000001,PARAM_5,Speed Calming & Surface,SURFACE_CALMING_DEFECT,CRITICAL DEFECT,0.84,Absence of raised speed calming table / severe road potholes inducing vehicle hazard.,E:\SIH\Project\output\evidence_frames\evidence_009_SURFACE_CALMING_DEFECT.jpg
